category_slug,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
pixar,What is Sulley's full name in Monsters, Inc.?,Sullivan Monster,James P. Sullivan,Samuel Sullivan,John Sullivan,1,James P. Sullivan, known as Sulley, is the top scarer at Monsters, Inc.,medium
pixar,What sport does Riley play in Inside Out?,Soccer,Hockey,Basketball,Volleyball,1,Riley plays hockey and her love of the sport creates a core memory island.,medium
star-wars,What is the name of Yoda's species?,Yodaling,Unknown,Dagobahn,Whills,1,Yoda's species has never been officially named in Star Wars canon.,hard
star-wars,What is the Rebel base in A New Hope?,Hoth,Yavin 4,Endor,Dagobah,1,The Rebel base on Yavin 4 is where they launch the attack on the Death Star.,medium
star-wars,Who trained Obi-Wan Kenobi?,Yoda,Mace Windu,Qui-Gon Jinn,Count Dooku,2,Qui-Gon Jinn was Obi-Wan's Jedi Master who was killed by Darth Maul.,medium
star-wars,What is the name of Anakin Skywalker's mother?,Padme,Shmi,Satine,Breha,1,Shmi Skywalker raised Anakin alone on Tatooine as a slave.,medium
star-wars,What does AT-AT stand for?,All Terrain Assault Tank,All Terrain Armored Transport,Armed Transport Attack Tank,Assault Terrain Armored Tank,1,AT-AT stands for All Terrain Armored Transport, the Empire's iconic walking tanks.,hard
star-wars,Who built C-3PO?,Obi-Wan Kenobi,Watto,Anakin Skywalker,Padme Amidala,2,Young Anakin Skywalker built C-3PO from spare parts on Tatooine.,medium
marvel,What is the name of Thor's mischievous brother?,Baldur,Loki,Tyr,Heimdall,1,Loki is the God of Mischief and Thor's adopted brother.,easy
marvel,What is Black Widow's real name?,Wanda Maximoff,Natasha Romanoff,Hope Van Dyne,Maria Hill,1,Natasha Romanoff is Black Widow, a former Russian spy and founding Avenger.,easy
marvel,Who is the main villain in Spider-Man: Homecoming?,Green Goblin,Mysterio,Vulture,Doc Ock,2,Adrian Toomes, the Vulture, is the villain played by Michael Keaton.,medium
marvel,Who becomes Captain America after Steve Rogers?,Bucky Barnes,Sam Wilson,John Walker,Scott Lang,1,Sam Wilson (Falcon) takes up the shield as the new Captain America.,easy
marvel,What planet is Thanos from?,Xandar,Knowhere,Titan,Vormir,2,Thanos is from the planet Titan, which was devastated by overpopulation.,medium
marvel,What is the name of Wakanda's heart-shaped plant?,Vibranium flower,Heart-Shaped Herb,Panther root,Wakandan lotus,1,The Heart-Shaped Herb grants the power of the Black Panther to its consumer.,medium
villains,What is the name of Gaston's sidekick in Beauty and the Beast?,LeFou,Pierre,Maurice,Cogsworth,0,LeFou is Gaston's loyal but bumbling sidekick.,easy
villains,What is Syndrome's real name in The Incredibles?,Buddy Pine,Simon Lynch,Howard Duff,Edwin Pine,0,Buddy Pine was Mr. Incredible's rejected fan who became the villain Syndrome.,medium
villains,What does Ursula transform into to trick Prince Eric?,A mermaid,A woman named Vanessa,A sea queen,A princess,1,Ursula transforms into a beautiful woman named Vanessa using Ariel's stolen voice.,medium
villains,Who is the villain in Mulan?,Li Shang,Shan Yu,The Emperor,Chi-Fu,1,Shan Yu is the ruthless leader of the Hun army who invades China.,medium
villains,What animal is Kaa in The Jungle Book?,A bear,A monkey,A snake,A tiger,2,Kaa is the hypnotic python who tries to eat Mowgli.,easy
villains,Who is the villain in The Fox and the Hound?,Amos Slade,Cruella,Shere Khan,McLeach,0,Amos Slade is the grumpy hunter who wants to kill Tod the fox.,hard
princesses,What is the name of Ariel's prince?,Prince Charming,Prince Phillip,Prince Eric,Prince Naveen,2,Prince Eric is the human prince that Ariel falls in love with.,easy
princesses,What is the name of Rapunzel's kingdom in Tangled?,Arendelle,Corona,Enchancia,Maldonia,1,Corona is the kingdom where Rapunzel was born as a princess.,medium
princesses,Who is Tiana's prince in The Princess and the Frog?,Prince Eric,Prince Charming,Prince Naveen,Prince Adam,2,Prince Naveen of Maldonia is turned into a frog by Dr. Facilier's voodoo.,easy
princesses,What is Cinderella's stepmother's name?,Lady Tremaine,Madame Medusa,Mother Gothel,Queen Grimhilde,0,Lady Tremaine is Cinderella's cold and cruel stepmother.,medium
princesses,What is the name of Belle's enchanted rose?,The Eternal Rose,The Enchanted Rose,The Magic Rose,The Cursed Rose,1,The Enchanted Rose wilts as the Beast's deadline to break the curse approaches.,easy
princesses,What is the name of Snow White's prince?,Prince Charming,The Prince,Prince Ferdinand,Prince Florian,1,Snow White's prince is officially known simply as The Prince in the original film.,hard
music,What movie features 'I Just Can't Wait to Be King'?,Aladdin,The Lion King,Moana,Hercules,1,Young Simba sings I Just Can't Wait to Be King in The Lion King.,easy
music,Who sings 'Surface Pressure' in Encanto?,Mirabel,Isabela,Luisa,Bruno,2,Luisa sings Surface Pressure about the weight of expectations on her shoulders.,easy
music,What song does the Genie sing when first appearing in Aladdin?,A Whole New World,Prince Ali,Friend Like Me,One Jump Ahead,2,Friend Like Me is the Genie's big introductory number when freed from the lamp.,easy
music,Which movie features 'The Bare Necessities'?,Tarzan,The Jungle Book,The Lion King,Robin Hood,1,The Bare Necessities is sung by Baloo in The Jungle Book about enjoying a simple life.,easy
music,What Frozen 2 song is Elsa's signature power ballad?,Show Yourself,Into the Unknown,All Is Found,Some Things Never Change,1,Into the Unknown is Elsa's power ballad from Frozen 2, nominated for an Oscar.,medium
music,Who sings 'Be Prepared' in The Lion King?,Mufasa,Simba,Scar,Zazu,2,Scar sings Be Prepared as he plots to overthrow Mufasa and take the throne.,easy
parks,What ride lets you fly on a banshee at Animal Kingdom?,Soarin',Flight of Passage,Star Tours,Peter Pan's Flight,1,Avatar Flight of Passage is a 3D flying simulator ride in Pandora.,easy
parks,What is the name of the TRON ride at Magic Kingdom?,TRON Speedway,TRON Lightcycle / Run,TRON Coaster,TRON Grid,1,TRON Lightcycle / Run opened at Magic Kingdom in 2023 in Tomorrowland.,medium
parks,Which EPCOT country pavilion has a Frozen ride?,Germany,Norway,United Kingdom,Canada,1,Norway pavilion features Frozen Ever After, which replaced the original Maelstrom ride.,easy
parks,What attraction lets you soar over world landmarks?,Star Tours,Soarin' Around the World,Flight of Passage,Peter Pan's Flight,1,Soarin' Around the World is a hang-gliding simulator over iconic landmarks.,easy
parks,What dark ride takes you flying to Neverland?,Dumbo,It's a Small World,Peter Pan's Flight,Winnie the Pooh,2,Peter Pan's Flight takes you flying over London and into Neverland.,easy
parks,What roller coaster goes through Mount Everest at Animal Kingdom?,Mount Everest,Everest Express,Expedition Everest,Yeti Mountain,2,Expedition Everest - Legend of the Forbidden Mountain features the terrifying Yeti.,easy
cruise,What is the name of the buffet restaurant on the Disney Dream and Fantasy?,Cabanas,Beach Blanket Buffet,Topsiders,Marceline Market,0,Cabanas is the casual buffet restaurant found on Disney Dream and Fantasy.,medium
cruise,What makes Disney the only cruise line to do this at sea?,Character dining,Fireworks at sea,Broadway shows,Waterslides,1,Disney Cruise Line is the only cruise line to set off fireworks at sea during Pirate Night.,medium
cruise,What Frozen-themed restaurant is on the Disney Wish?,Olaf's Cafe,Arendelle: A Frozen Dining Adventure,Ice Palace,Oaken's Tavern,1,Arendelle: A Frozen Dining Adventure features singing and live entertainment during dinner.,medium
cruise,What color is the hull of Disney cruise ships?,White,Navy blue,Black,Red,1,Disney cruise ships have a distinctive navy blue hull with red and yellow accents.,easy
cruise,What is the premium restaurant on the Disney Dream and Fantasy?,Remy,Palo,Enchante,Lumiere's,0,Remy is the premium French-inspired dining experience named after the Ratatouille character.,medium
cruise,What Marvel-themed restaurant is on the Disney Wish?,Avengers Kitchen,Worlds of Marvel,Stark's Steakhouse,Hero's Galley,1,Worlds of Marvel is an interactive dining experience with Avengers-themed storytelling.,medium
walt-history,What was the name of Walt Disney's first business that failed?,Disney Brothers Studio,Laugh-O-Gram Studio,Hyperion Studio,Walt Disney Animation,1,Laugh-O-Gram Studio in Kansas City went bankrupt in 1923 before Walt moved to Hollywood.,hard
walt-history,Who is the CEO of The Walt Disney Company as of 2025?,Bob Chapek,Bob Iger,Michael Eisner,Tom Staggs,1,Bob Iger returned as CEO of Disney in November 2022.,medium
walt-history,What animated short won Disney's first Academy Award?,Steamboat Willie,Flowers and Trees,The Three Little Pigs,The Old Mill,1,Flowers and Trees (1932) won the first Academy Award for Best Animated Short Film.,hard
walt-history,What year did Disneyland Paris open?,1983,1988,1992,1998,2,Disneyland Paris (originally Euro Disney) opened on April 12, 1992.,medium
walt-history,What year did Tokyo Disneyland open?,1978,1983,1988,1992,1,Tokyo Disneyland opened on April 15, 1983 as the first Disney park outside the US.,medium
walt-history,What Disney animated feature combined live-action and animation in 1944?,Song of the South,Mary Poppins,Saludos Amigos,The Three Caballeros,3,The Three Caballeros (1944) was a groundbreaking blend of animation and live-action.,hard
broadway,What song from The Little Mermaid musical is Ariel's signature number?,Under the Sea,Part of Your World,Kiss the Girl,She's in Love,1,Part of Your World is Ariel's iconic I Want song in both the film and musical.,easy
broadway,Which Disney musical features the song 'King of New York'?,Aladdin,The Lion King,Newsies,The Little Mermaid,2,King of New York is the celebratory Act 2 number in Newsies.,medium
broadway,Which Disney Broadway show won the Tony for Best Musical in 1998?,Beauty and the Beast,The Lion King,Aladdin,Newsies,1,The Lion King won the Tony Award for Best Musical in 1998.,medium
broadway,What Disney musical features the song 'Step in Time'?,Newsies,Mary Poppins,Beauty and the Beast,The Lion King,1,Step in Time is the chimney sweeps big dance number in Mary Poppins.,medium
broadway,What year did Beauty and the Beast close on Broadway?,2001,2003,2007,2010,2,Beauty and the Beast ran for 13 years and closed in 2007 after 5,461 performances.,hard
broadway,What is Prince Hans' villain reveal song in Frozen the Musical?,Let It Go,Monster,Hans of the Southern Isles,True Love,2,Hans of the Southern Isles is Prince Hans' villain reveal number in the stage show.,hard
food,What is the signature snack at Sleepy Hollow in Magic Kingdom?,Turkey leg,Funnel cake,Waffle sandwich,Corn dog,2,Sleepy Hollow is famous for its sweet and savory fresh waffle sandwiches.,medium
food,What character dining restaurant is at the Contemporary Resort?,Chef Mickey's,Cinderella's Royal Table,Crystal Palace,'Ohana,0,Chef Mickey's is a popular character dining buffet at the Contemporary Resort.,medium
food,What shape are Mickey Waffles?,Round,Square,Mickey's head,Castle,2,Mickey Waffles shaped like Mickey's head are a beloved Disney resort breakfast staple.,easy
food,What is the popular frozen drink at the France pavilion in EPCOT?,Frozen lemonade,Grand Marnier Orange Slush,Champagne float,Frozen sangria,1,The Grand Marnier Orange Slush is a cult favorite treat at EPCOT's France pavilion.,hard
food,What Marvel-themed dining is available at Disney parks?,Stark's Steakhouse,Pym Test Kitchen,Avengers Cafe,Hero's Grill,1,Pym Test Kitchen at Avengers Campus serves food in hilariously oversized and tiny portions.,medium
food,What is the iconic breakfast item at Disney resort hotels?,Pancakes,Mickey Waffles,French Toast,Eggs Benedict,1,Mickey-shaped waffles are the quintessential Disney resort breakfast item.,easy
mixed,What are the names of Cinderella's stepsisters?,Ella and Bella,Anastasia and Drizella,Victoria and Elizabeth,Rose and Lily,1,Anastasia and Drizella are Cinderella's mean stepsisters.,medium
mixed,What is the name of the toy store in Toy Story 2?,Toys R Us,Al's Toy Barn,Andy's Toy Box,Buzz's Toy Store,1,Al's Toy Barn is the toy store owned by Al McWhiggin who steals Woody.,medium
mixed,Which Disney film was the first to have a theatrical sequel?,The Lion King,Aladdin,The Rescuers,Fantasia,2,The Rescuers Down Under (1990) was the first Disney animated theatrical sequel.,hard
mixed,What is the name of the villain queen in Snow White?,Maleficent,The Evil Queen,Ursula,Mother Gothel,1,The Evil Queen (Queen Grimhilde) is Snow White's vain stepmother.,easy
mixed,What year was the first Toy Story released?,1993,1995,1997,1999,1,Toy Story released in 1995 as the first fully computer-animated feature film.,easy
mixed,What Disney character is known for losing a glass slipper?,Snow White,Aurora,Cinderella,Rapunzel,2,Cinderella famously loses her glass slipper at the stroke of midnight.,easy
